n_epi,total_reward,v_epi_mean,cn_epi,sn_epi
10,16.79035677286506,5.779032915940496,0.2,0.0
20,20.992712485453488,10.78847152745222,0.8,0.0
30,20.933626308679585,13.539275499184926,1.0,0.0
40,21.944465482234953,13.657419929901758,1.0,0.0
50,22.554614434003827,13.694543275583625,1.0,0.0
