n_epi,total_reward,v_epi_mean,cn_epi,sn_epi
10,16.79035677286506,5.779032915940496,0.2,0.0
20,20.992712485453488,10.78847152745222,0.8,0.0
30,20.933626308679585,13.539275499184926,1.0,0.0
40,21.944465482234953,13.657419929901758,1.0,0.0
50,22.554614434003827,13.694543275583625,1.0,0.0
60,22.943716500520704,13.682123714583259,1.0,0.0
70,22.75501133656502,13.652305365841967,1.0,0.0
80,19.535283273935317,13.51005478548376,1.0,0.0
90,21.931552387952802,13.649733564257623,1.0,0.0
100,25.834052360296255,13.831985752730024,1.0,0.0
