n_epi,total_reward,v_epi_mean,cn_epi,sn_epi
10,16.79035677286506,5.779032915940496,0.2,0.0
20,22.78258470998466,11.024687657269794,0.7,0.1
30,21.064353656768798,13.536413286361226,1.0,0.0
40,21.94633562350273,13.658533109227816,1.0,0.0
50,22.55845319771767,13.696775114952132,1.0,0.0
